year,bank,years_since_peak,gross_npa_pct,indexed_npa
2018,All Scheduled Commercial Banks,0,11.18,100
2019,All Scheduled Commercial Banks,1,9.08,81.2
2020,All Scheduled Commercial Banks,2,8.21,73.4
2021,All Scheduled Commercial Banks,3,7.33,65.6
2022,All Scheduled Commercial Banks,4,5.82,52.1
2023,All Scheduled Commercial Banks,5,3.87,34.6
2017,Foreign Banks,0,3.96,100
2018,Foreign Banks,1,3.81,96.2
2019,Foreign Banks,2,2.99,75.5
2020,Foreign Banks,3,2.34,59.1
2021,Foreign Banks,4,2.42,61.1
2022,Foreign Banks,5,2.9,73.2
2023,Foreign Banks,6,1.89,47.7
2020,Private Sector Banks,0,5.45,100
2021,Private Sector Banks,1,4.94,90.6
2022,Private Sector Banks,2,3.84,70.5
2023,Private Sector Banks,3,2.29,42
2018,Public Sector Banks,0,14.58,100
2019,Public Sector Banks,1,11.59,79.5
2020,Public Sector Banks,2,10.25,70.3
2021,Public Sector Banks,3,9.11,62.5
2022,Public Sector Banks,4,7.28,49.9
2023,Public Sector Banks,5,4.97,34.1
