"year","bank","gross_advances","gross_npa","net_advances","net_npa","gross_npa_pct","net_npa_pct"
2025,"All Scheduled Commercial Banks",19449464.94,431606.98,NA,NA,2.22,NA
2025,"Foreign Banks",618379.01,5321.4,NA,NA,0.86,NA
2025,"Private Sector Banks",7574750.01,132646.46,NA,NA,1.75,NA
2025,"Public Sector Banks",10977761.67,283650.43,NA,NA,2.58,NA
2024,"All Scheduled Commercial Banks",17508589.83,480701,17142339.56,106732.32,2.75,0.62
2024,"Foreign Banks",546120.9,6523.1,548474.14,798.99,1.19,0.15
2024,"Private Sector Banks",6959146.28,129046.67,6861388.21,31593.56,1.85,0.46
2024,"Public Sector Banks",9773487.66,339540.87,9506329.04,72543.85,3.47,0.76
2023,"All Scheduled Commercial Banks",14761837.83,571850.33,14319352.43,135319.71,3.87,0.95
2023,"Foreign Banks",503939.38,9544.5,491029.37,1655.9,1.89,0.34
2023,"Private Sector Banks",5462976.19,125211.82,5366672.59,29509.83,2.29,0.55
2023,"Public Sector Banks",8610114.69,428197.37,8283763.09,102531.54,4.97,1.24
2022,"All Scheduled Commercial Banks",12750005.89,742397.15,12198767.37,204230.9,5.82,1.67
2022,"Foreign Banks",476084.76,13786.18,465483.93,3022.72,2.9,0.65
2022,"Private Sector Banks",4700911.86,180742.11,4553540.87,43738.24,3.84,0.96
2022,"Public Sector Banks",7433006.34,540958.21,7043940.22,154745.38,7.28,2.2
2021,"All Scheduled Commercial Banks",11399607.98,835051.42,10806381,258050,7.33,2.4
2021,"Foreign Banks",420616.71,10199.06,420780,3241,2.42,0.8
2021,"Private Sector Banks",4097039.53,202266.15,3929572,55377,4.94,1.4
2021,"Public Sector Banks",6770362.52,616615.55,6347417,196451,9.11,3.1
2020,"All Scheduled Commercial Banks",10918917.66,896082.52,10301897,289370,8.21,2.8
2020,"Foreign Banks",436065.65,10208.35,428076,2005,2.34,0.5
2020,"Private Sector Banks",3776231.27,205847.82,3625154,55683,5.45,1.5
2020,"Public Sector Banks",6615111.59,678317.01,6158112,230918,10.25,3.7
2019,"All Scheduled Commercial Banks",10287085.25,933608.86,9676183,355068,9.08,3.7
2019,"Foreign Banks",406881.31,12182.59,396726,2051,2.99,0.5
2019,"Private Sector Banks",3442346.66,180872.43,3327328,67309,5.25,2
2019,"Public Sector Banks",6382460.85,739541,5892667,285122,11.59,4.8
2018,"All Scheduled Commercial Banks",9266209.56,1036187.19,8745997,520838,11.18,6
2018,"Foreign Banks",363304.68,13829.66,351016,1548,3.81,0.4
2018,"Private Sector Banks",2725890.72,125862.89,2662753,64380,4.62,2.4
2018,"Public Sector Banks",6141698.16,895601.3,5697350,454473,14.58,8
2017,"All Scheduled Commercial Banks",8476705.25,790268,8116109,433121,9.32,5.3
2017,"Foreign Banks",343611.18,13621.05,332335,2137,3.96,0.6
2017,"Nationalised Banks",3914442.25,506921.68,NA,NA,12.95,NA
2017,"Private Sector Banks",2266720.69,91914.65,2219475,47780,4.05,2.2
2016,"All Scheduled Commercial Banks",8171114.24,611607.45,7896467,349814,7.48,4.4
2016,"Foreign Banks",376504.34,15797.99,363551,2762,4.2,0.8
2016,"Nationalised Banks",3911175.56,417987.78,NA,NA,10.69,NA
2016,"Private Sector Banks",1972658.82,55853.12,1939339,26677,2.83,1.4
2015,"All Scheduled Commercial Banks",7560665.84,322916.12,7388160,175841,4.27,2.4
2015,"Foreign Banks",336609,10757.79,327599,1762,3.2,0.5
2015,"Nationalised Banks",3897549,204959.54,NA,NA,5.26,NA
2015,"Private Sector Banks",1607339.36,33690.35,1584312,14128,2.1,0.9
2014,"All Scheduled Commercial Banks",6875747.91,263015.17,6735213,142421,3.83,2.1
2014,"Foreign Banks",299575.49,11567.76,291142,3160,3.86,1.1
2014,"Nationalised Banks",3607182.1,147447.43,NA,NA,4.09,NA
2014,"Private Sector Banks",1360252.77,24183.5,1342935,8862,1.78,0.7
2013,"All Scheduled Commercial Banks",5971819.89,192768.8,5879773,98693,3.23,1.7
2013,"Foreign Banks",260404.94,7925.56,NA,NA,3.04,NA
2013,"Nationalised Banks",3141285.89,101683.11,NA,NA,3.24,NA
2013,"Private Sector Banks",1151246.34,20381.67,873252,3900,1.77,0.4
2012,"All Scheduled Commercial Banks",4648807.8,136968.3,NA,NA,2.95,NA
2012,"Foreign Banks",226777.3,6268.9,NA,NA,2.76,NA
2012,"Nationalised Banks",2503374.1,66795.1,NA,NA,2.67,NA
2012,"Private Sector Banks",871641.3,18210.2,736300,3000,2.09,0.4
