"bank","year","years_since_peak","gross_npa_pct","indexed_npa"
"Foreign Banks",2023,6,1.89,100
"Private Sector Banks",2023,3,2.29,100
"Public Sector Banks",2023,5,4.97,100
"Foreign Banks",2022,5,2.9,153.4
"Private Sector Banks",2022,2,3.84,167.7
"Public Sector Banks",2022,4,7.28,146.5
"Foreign Banks",2021,4,2.42,128
"Private Sector Banks",2021,1,4.94,215.7
"Public Sector Banks",2021,3,9.11,183.3
"Foreign Banks",2020,3,2.34,123.8
"Private Sector Banks",2020,0,5.45,238
"Public Sector Banks",2020,2,10.25,206.2
"Foreign Banks",2019,2,2.99,158.2
"Public Sector Banks",2019,1,11.59,233.2
"Foreign Banks",2018,1,3.81,201.6
"Public Sector Banks",2018,0,14.58,293.4
"Foreign Banks",2017,0,3.96,209.5
