"year","bank","gross_npa_pct","net_npa_pct"
2025,"Foreign Banks",0.86,NA
2025,"Private Sector Banks",1.75,NA
2025,"Public Sector Banks",2.58,NA
2024,"Foreign Banks",1.19,0.15
2024,"Private Sector Banks",1.85,0.46
2024,"Public Sector Banks",3.47,0.76
2023,"Foreign Banks",1.89,0.34
2023,"Private Sector Banks",2.29,0.55
2023,"Public Sector Banks",4.97,1.24
2022,"Foreign Banks",2.9,0.65
2022,"Private Sector Banks",3.84,0.96
2022,"Public Sector Banks",7.28,2.2
2021,"Foreign Banks",2.42,0.8
2021,"Private Sector Banks",4.94,1.4
2021,"Public Sector Banks",9.11,3.1
2020,"Foreign Banks",2.34,0.5
2020,"Private Sector Banks",5.45,1.5
2020,"Public Sector Banks",10.25,3.7
2019,"Foreign Banks",2.99,0.5
2019,"Private Sector Banks",5.25,2
2019,"Public Sector Banks",11.59,4.8
2018,"Foreign Banks",3.81,0.4
2018,"Private Sector Banks",4.62,2.4
2018,"Public Sector Banks",14.58,8
2017,"Foreign Banks",3.96,0.6
2017,"Private Sector Banks",4.05,2.2
2016,"Foreign Banks",4.2,0.8
2016,"Private Sector Banks",2.83,1.4
2015,"Foreign Banks",3.2,0.5
2015,"Private Sector Banks",2.1,0.9
2014,"Foreign Banks",3.86,1.1
2014,"Private Sector Banks",1.78,0.7
2013,"Foreign Banks",3.04,NA
2013,"Private Sector Banks",1.77,0.4
2012,"Foreign Banks",2.76,NA
2012,"Private Sector Banks",2.09,0.4
